"number","date","name","vertical","sub_vertical","location","investor_name","investment_type","usd","remarks"
1233,"02/2/2016","Altizone","Technology","IoT & M2M Solutions","Pune","Wipro Ventures,  Lumis Partners","Private Equity",4e+06,NA
1234,"02/2/2016","Oust App","Consumer Internet","Competitive Exam Preparation Platform","Bangalore","T V Mohandas Pai,  Aarin Capital","Seed Funding",NA,NA
1235,"02/2/2016","Strike","Consumer Internet","Mobile Email productivity tool","Bangalore","Multiple investors through Ten Minute Million competition","Seed Funding",22500,NA
1236,"02/2/2016","MaaxMarket","Consumer Internet","Marketing Automation platform",NA,"Multiple investors through Ten Minute Million competition","Seed Funding",22500,NA
1237,"02/2/2016","Gamooz","Technology","Augmented Reality Solutions","Gurgaon","Multiple investors through Ten Minute Million competition","Seed Funding",22500,NA
1238,"02/2/2016","SoundSurround","Technology","Audio Technology Solutions","Mumbai","Multiple investors through Ten Minute Million competition","Seed Funding",22500,NA
1239,"03/2/2016","Mazkara","Consumer Internet","Beauty & Wellness Platform","Pune / Dubai","Dunamis Ventures Pte Ltd.","Seed Funding",1e+06,NA
1240,"03/2/2016","RoadGods","ECommerce","Auto Spare Parts eTailer","New Delhi","Green House Ventures (GHV)","Seed Funding",1e+05,NA
1241,"03/2/2016","Pindropmusic","Consumer Internet","Music Discovery Mobile App","Noida","Green House Ventures (GHV)","Seed Funding",1e+05,NA
1242,"03/2/2016","Woodpie","Consumer Internet","Book Recommendation Service","Bangalore","Ingram Content Group","Seed Funding",30000,NA
1243,"04/02/2016","Perfumery","ECommerce","Fragrances & Perfume eTailer","New Delhi","Oranda Global & Others","Seed Funding",30000,NA
1244,"05/02/2016","Magic Crate","Education","Children Education Platform","Bangalore","TV Mohandas Pai, Aarin Capital","Seed Funding",NA,NA
1245,"05/02/2016","ZenDrive","Technology","Safe Driving Data & Analytics platform","Bangalore / SFO","Sherpa Capital, Nyca Partners and Thomvest Ventures","Private Equity",13500000,NA
1246,"05/02/2016","Smartcooky","ECommerce","Marketplace for Health Foods","New Delhi","Vandana Luthra,","Private Equity",NA,NA
1247,"05/02/2016","Turtlemint","Consumer Internet","online personalized insurance platform","Mumbai","Nexus Venture Partners","Private Equity",NA,NA
1248,"05/02/2016","BHIVE","Real Estate","Workspace Rentals","Bangalore","Raghunandan G, Venturesity, Arihant Patni","Seed Funding",NA,NA
1249,"05/02/2016","Gingercrush","Ecommerce","Personalized Products & Merchandize eTailer","Vadodara","Saha Fund, TV Mohandas Pai, Zia Mody, Mumbai Angels, Ananda Kallugadde, Rakesh Desai, Rakesh Malhotra","Private Equity",1e+06,NA
1250,"05/02/2016","American Vision","Consumer Internet","Optical Store Aggregator Platform","Pune","Undisclosed investors","Seed Funding",81000,NA
1251,"05/02/2016","DawaiLelo","Consumer Internet","Healthcare Services & Online Pharmacy Mobile App","Varanasi","Undisclosed investors","Seed Funding",52000,NA
1252,"06/02/2016","Heads Up For Tails","Ecommerce","Pet Products eTailer","New Delhi","Undisclosed investors","Seed Funding",1e+06,NA
1253,"06/02/2016","LiveNutriFit","Healthcare","Weight loss & Healthcare Info portal","New Delhi","Mohit Goel, Vinod Jain & Others","Seed Funding",NA,NA
1254,"08/02/2016","Moglix","Ecommerce","Industrial & Home Products Marketplace","New Delhi","Ratan Tata","Private Equity",NA,NA
1255,"08/02/2016","iStyleYou","Consumer Internet","Personal Fashion Stylist App","Gurgaon","Green House Ventures (GHV)","Seed Funding",1e+05,NA
1256,"08/02/2016","AdUrCup","Consumer Internet","Ad Network","New Delhi","Green House Ventures (GHV)","Seed Funding",1e+05,NA
1257,"08/02/2016","Weddingz","Consumer Internet","online marketplace for wedding venues and vendors","Mumbai","Sixth Sense Ventures","Private Equity",NA,NA
1258,"08/02/2016","Urban Dhobi","Consumer Internet","On Demand Laundry Services","Jaipur","Vinod Bansal, Sanjeev Singhal","Seed Funding",NA,NA
1259,"08/02/2016","Gray Routes","Consumer Internet","Last mile logistics solutions","Mumbai","Mahesh Parasuraman, Rahul Gautam & Others","Seed Funding",NA,NA
1260,"08/02/2016","Xpressbees","ECommerce","ECommerce Logistics solutions","Pune","SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital","Private Equity",12500000,NA
1261,"08/02/2016","Invictus Oncology","Healthcare","Cancer therapeutic Info & Solutions","New Delhi","Ratan Tata","Private Equity",NA,NA
1262,"08/02/2016","Hansel.io","Technology","Mobile App Tech Solutions","Bangalore","Endiya Partners, Mekin Maheshwari, Rajesh Sawhney","Seed Funding",NA,NA
1263,"09/02/2016","Inc42","Consumer Internet","Startup Focused Media News Portal","New Delhi","India Ventures, Aarin Capital & Others","Seed Funding",NA,NA
1264,"09/02/2016","GOQii","Technology","Personalized fitness coaching & Fitness band","Mumbai","Edelweiss Financial Services","Private Equity",NA,NA
1265,"10/02/2016","Capzest","Consumer Internet","Digital Lending Platform","Mumbai","Lion Ventures","Seed Funding",2e+05,NA
1266,"10/02/2016","GlamStudios","Consumer Internet","Online Salon Aggregator","Noida","Aqeel Ahmed","Seed Funding",NA,NA
1267,"10/02/2016","Affimity","Consumer Internet","Social Networking platform","Bangalore","undisclosed investors","Seed Funding",1200000,NA
1268,"10/02/2016","Anandakanda","Technology","Medicine Intake Reminder System","Pune","undisclosed investors","Seed Funding",150000,NA
1269,"10/02/2016","JoulestoWatts","Technology","IT services & Talent collaboration services startup","Bangalore","Manipal Global Education Services","Seed Funding",NA,NA
1270,"10/02/2016","Shopkirana","Consumer Internet","Retailer Supply Chain platform","Indore","Atul Jain, Anil Gelra, Jaikumar Nair","Seed Funding",NA,NA
1271,"10/02/2016","Stylofie","Consumer Internet","Online Beauty Parlour search & discovery Platform","Gurgaon","Jaideep Mehta","Seed Funding",NA,NA
1272,"10/02/2016","OyBob","eCommerce","Hyperlocal Products & Services marketplace","Gurgaon","Sachin Dalal","Seed Funding",NA,NA
1273,"12/02/2016","ActOnMagic","Technology","Cloud Analytics and Management Products","Bangalore","Jayabalan Subramanian","Seed Funding",125000,NA
1274,"12/02/2016","Bonhomia","Food & Beverage","premium Tea and Coffee","New Delhi","Alok Rawat, Grey Orange Robotics","Seed Funding",1e+06,NA
1275,"12/02/2016","iGrenEnergi","Technology","Solar Power Solutions","Mumbai","Sunil Mehta","Seed Funding",1e+06,NA
1276,"12/02/2016","RKSV","Consumer Internet","Online Stock Trading Platform","Mumbai","Kalaari Capital","Private Equity",4e+06,NA
1277,"15/02/2016","Aasaanjobs","Consumer Internet","Online Recruitment Marketplace","Mumbai","Aspada Advisors, IDG Ventures,  Inventus Capital","Private Equity",5e+06,NA
1278,"15/02/2016","Snapdeal","eCommerce","Horizontal Online Marketplace","New Delhi","Ontario Teachers’ Pension Plan & Others","Private Equity",2e+08,NA
1279,"15/02/2016","Jugnoo","Consumer Internet","Transportation & On-demand delivery aggregator","Chandigarh","Saumya Tandon","Private Equity",NA,NA
1280,"15/02/2016","Snapbizz","Technology","Connectivity platform for local grocery stores","Bangalore","Ratan Tata","Private Equity",NA,NA
1281,"15/02/2016","GoYaNo","Consumer Internet","Events & Restaurant Discovery Marketplace App","Gurgaon","Mukesh Kumar Gupta","Seed Funding",50000,NA
1282,"15/02/2016","RentSher","Consumer Internet","Online Household Product Rental platform","Bangalore","Vaibhav Doshi, Abhay Singhal, Vibhu Garg, Joby Babu, Abhishek Acharya, Manish Shah","Seed Funding",3e+05,NA
1283,"15/02/2016","Buddy","Finance","Micro Lending Platform for eCommerce purchases","Bangalore","Blume Ventures,  Tracxn Labs","Seed Funding",5e+05,NA
1284,"15/02/2016","Legistify","Consumer Internet","Online Legal services platform","New Delhi","Ranjit Singh","Seed Funding",NA,NA
1285,"16/02/2016","TableHero","Consumer Internet","Dynamic Restaurant Website creator","Bangalore","GrowX Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor","Seed Funding",1e+06,NA
1286,"16/02/2016","BetterPlace","Technology","Data analytics based Verification services Platform","Bangalore","Unitus Seed Fund","Seed Funding",970000,NA
1287,"16/02/2016","Salebhai","eCommerce","Sweets, Eatables, Handicrafts Online Marketplace","Ahmedabad","Virendra Shekhawat, Deepak Chokhani, Yogesh Patel & Others","Seed Funding",NA,NA
1288,"16/02/2016","icustommadeit","eCommerce","Professional Custom creators Marketplace","Pune","Brand Capital, Siddhivinayak Skyscrapers, Dinesh R. Challa","Private Equity",4e+06,NA
1289,"16/02/2016","Tring","Consumer Internet","Instant Messaging App","Pune","Vishwadeep Bajaj & Others","Seed Funding",NA,NA
1290,"16/02/2016","Medinfi","Consumer Internet","Doctor & Clinics Discovery platform","Bangalore","Rajnish Sinha, Prijit Debnath, Kanchan Ghoshal","Seed Funding",NA,NA
1291,"17/02/2016","Timemytask","Consumer Internet","On-Demand home cleaning services","Mumbai","Lead Angels","Seed Funding",NA,NA
1292,"17/02/2016","GameZop","Technology","Mobile Gaming Platform","New Delhi","KWAN Entertainment & Marketing Solutions, Powerhouse Ventures & Others","Seed Funding",350000,NA
1293,"17/02/2016","Notary Mama","Consumer Internet","On-demand Legal documentation and registration service","Bangalore","Dr Nandish Domlur, Amit Sandill","Seed Funding",NA,NA
1294,"17/02/2016","The Viral Fever","Consumer Internet","Independent Online Video production company","Mumbai","Tiger Global","Private Equity",1e+07,NA
1295,"17/02/2016","Avanti Learning","Education","Private Coaching Classes","New Delhi","Michael & Susan Dell Foundation","Private Equity",5e+06,NA
1296,"17/02/2016","Bollant Industries","Technology","Eco-friendly consumer & packaging products","Hyderabad","Ratan Tata","Private Equity",NA,NA
1297,"18/02/2016","GetVee","Consumer Internet","Matrimony & Couples only mobile platform","New Delhi","Lightspeed Venture Partners, K Ganesh","Private Equity",NA,NA
1298,"18/02/2016","HealthKumbh","Consumer Internet","Health related Information portal","Ahmedabad","Undisclosed investor","Seed Funding",73000,NA
1299,"18/02/2016","Unlaze","Consumer Internet","Social Networking app for outdoor interests","Gurgaon","Sujal Shah, Dino Morea","Seed Funding",NA,NA
1300,"18/02/2016","Tracxn","Technology","Indian Startup ecosystem trends analyzer & funding platform","Bangalore","Nandan Nilekani, Mohandas Pai, Neeraj Arora, Anand Rajaraman, Girish Mathrubootham, Aneesh Reddy & Teruhide Sato","Private Equity",NA,NA
1301,"18/02/2016","Careongo","ECommerce","Online Pharmacy store","New Delhi","Farooq Oomerbhoy & Other angel investors","Seed Funding",3e+05,NA
1302,"18/02/2016","Ark Robot","Technology","Warehouse Automation","Bangalore","Qualcomm (Through QPrize Contest)","Seed Funding",350000,NA
1303,"19/02/2016","Jaypore","ECommerce","Ethnic Products marketplace","New Delhi","Aavishkaar","Private Equity",5e+06,NA
1304,"19/02/2016","Finance Buddha","Consumer Internet","Online Loan Comparison & Discovery platform","Bangalore","Chennai Angels","Seed Funding",NA,NA
1305,"19/02/2016","AlmaConnect","Consumer Internet","Alumni social network","New Delhi","Mohandas Pai, Varun Aggarwal","Seed Funding",NA,NA
1306,"19/02/2016","Advantage Club","Consumer Internet","mobile platform for corporate employee benefits","Gurgaon","Purvi Ventures & Others","Seed Funding",4e+05,NA
1307,"19/02/2016","LocalRamu","Consumer Internet","mobile based aggregator for local service providers","Bangalore","3 undisclosed investors","Seed Funding",NA,NA
1308,"22/02/2016","Baby Berry","Consumer Internet","Parenting Mobile app","Bangalore","Nitin Bagmane & Other undisclosed investors","Seed Funding",1e+06,NA
1309,"22/02/2016","Magicpin","Consumer Internet","Hyperlocal Discover Mobile App","New Delhi","Lightspeed India","Private Equity",3e+06,NA
1310,"22/02/2016","First Eat","Consumer Internet","Healthy Food Delivery platform","New Delhi","Undisclosed investor","Seed Funding",1e+05,NA
1311,"22/02/2016","SigTuple","Technology","Healthcare based Tech Solutions","Bangalore","Sachin Bansal, Binny Bansal, Accel Partners & Others","Seed Funding",NA,NA
1312,"22/02/2016","Taskbob","Consumer Internet","Hyperlocal Handyman services platform","Mumbai","IvyCap Ventures, Orios Venture Partners, Mayfield India","Private Equity",4500000,NA
1313,"22/02/2016","Styledotme","Consumer Internet","Mobile Fashion App","New Delhi","Indian Angel Network","Seed Funding",37000,NA
1314,"22/02/2016","NewsLaundry","Consumer Internet","Independent News Media Portal","New Delhi","Omidyar Network,  Vikram Lal, Abhijit Bhandari, Mahesh Murthy, Shashank Bhagat","Private Equity",NA,NA
1315,"23/02/2016","CupoNation","Consumer Internet","Deals and Discount platform","Gurgaon","Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank","Private Equity",1.1e+07,NA
1316,"23/02/2016","Aarav UAV","Technology","unmanned aerial vehicles creator","Kanpur","StartupXseed Ventures, The Phoenix Fund and others","Seed Funding",NA,NA
1317,"24/02/2016","Sayfix","Consumer Internet","Hyperlocal Home Services Provider","Bangalore","Yajnanarayana Kammaje","Seed Funding",160000,NA
1318,"24/02/2016","LoanZen","Consumer Internet","Peer to peer Lending marketplace","Bangalore","Tracxn Syndicate","Seed Funding",NA,NA
1319,"24/02/2016","NoBroker","Consumer Internet","Peer to peer property listing platform","Bangalore","Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, SAIF Partners","Private Equity",1e+07,NA
1320,"24/02/2016","AppilyEver","Consumer Internet","Online wedding services marketplace","Hyderabad","Varun Aggarwal, Suresh Venkat, Raj Y","Seed Funding",4e+05,NA
1321,"24/02/2016","Pocketin","Consumer Internet","Hotel reservations & Deal platform","Noida","Swastika Company Ltd","Seed Funding",150000,NA
1322,"24/02/2016","FeetApart","Consumer Internet","Employee engagements & Rewards platform","Bangalore","Vishal Bali & Others","Seed Funding",NA,NA
1323,"25/02/2016","OfBusiness","eCommerce","B2B commerce Marketplace","Gurgaon","Matrix Partners India","Private Equity",5e+06,NA
1324,"25/02/2016","CarveNiche","Consumer Internet","Personalized Learning Solutions & products","Bangalore","Calcutta Angels, Lead Angels & Others","Seed Funding",NA,NA
1325,"25/02/2016","Juspay","Consumer Internet","Digital Payments solutions","Bangalore","Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande","Private Equity",5800000,NA
1326,"25/02/2016","Funcart","eCommerce","Party Supplies Etailer","New Delhi","Undisclosed HNIs","Seed Funding",70000,NA
1327,"26/02/2016","Freedom Smart Labs","Technology","IoT retail solutions","New Delhi","Kapil Goel","Seed Funding",145000,NA
1328,"26/02/2016","EduBridge","Consumer Internet","Skill development and vocational training platform","Mumbai","Insitor Impact Asia Fund, Acumen Fund","Private Equity",2500000,NA
1329,"29/02/2016","Nestaway","Consumer Internet","Online Home Rental Marketplace","Bangalore","Ratan Tata","Private Equity",NA,NA
1330,"29/02/2016","Hopscotch","eCommerce","Baby & Kids Products Online Flash sales platform","Mumbai","Eduardo Saverin","Private Equity",1.3e+07,NA
1331,"29/02/2016","PinClick","Consumer Internet","Online real estate listings","Bangalore","Undisclosed investors","Private Equity",NA,NA
1332,"01/1/2016","Smartcooky","ECommerce","Health Food / Personal Care Marketplace","New Delhi","Rajan Anandan, Pramod Bhasin, Siddharth Pai, TV Mohandas Pai, Manvinder Singh Banga","Seed Funding",NA,NA
1333,"01/1/2016","Helpi","Consumer Internet","On Demand Cleaning Services Mobile App","Mumbai","Undisclosed Investors","Seed Funding",NA,NA
1334,"04/1/2016","DogSpot","ECommerce","Online Pet Store","Gurgaon","Ratan Tata","Seed Funding",NA,NA
1335,"04/1/2016","Career360","Education","College Education Portal","New Delhi","MeritTrac","Private Equity",NA,NA
1336,"04/1/2016","B9 Beverages","Food & Beverage","Craft Beer manufacturing company","New Delhi","Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal","Private Equity",6e+06,NA
1337,"05/1/2016","WIMWI Foods","Food & Beverage","Healthy food manufacturing & sales startup","Ahmedabad","Centre for Innovation Incubation and Entrepreneurship (CIIE)","Seed Funding",NA,NA
1338,"05/1/2016","MyChild App","Education","Child Disorder Information & Education","Bhopal","Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr. Ritesh Malik, Deobrat Singh, Saurab Paruthi, Singapore Angel Network.","Seed Funding",1e+05,NA
1339,"05/1/2016","Instaproc","ECommerce","B2B Procurement Marketplace for Office Products","Noida","Dinesh Agarwal","Seed Funding",NA,NA
1340,"05/1/2016","360Ride","Consumer Internet","Ride Sharing platform","Bangalore","Undisclosed","Seed Funding",150000,NA
1341,"05/1/2016","AlefMobitech","Consumer Internet","Cloud Mobility Solutions","Mumbai","Tata Capital Innovation Fund","Private Equity",5e+06,NA
1342,"06/01/2016","Tracxn","BFSI","Startup Funding Deal Discovery & Execution platform","Bangalore","Ratan Tata","Seed Funding",NA,NA
1343,"06/01/2016","Qdesq","Real Estate","Branded Workspaces Aggregator","Gurgaon","Dheeraj Jain, Jagdish Kumar, Bharat Gupta, Ankush Saigal, Praveen Saini","Seed Funding",NA,NA
1344,"06/01/2016","Sensara","Technology","TV Search, Guide and Remote mobile app","Bangalore","Lalitesh Katragadda,  Ganayantrika Systems","Seed Funding",750000,NA
1345,"06/01/2016","Zebpay","Consumer Internet","Bitcoin Buying & Selling Mobile App","Ahmedabad","Arjun Handa, Amit Jindal, Nagendra Chaudhary","Private Equity",1e+06,NA
1346,"06/01/2016","PlanMyMedicalTrip","Healthcare","Medical Tourism platform","Pune","Bhanu Vikram Parsotam, Rohan Desai and Paras Patel","Seed Funding",150000,NA
1347,"06/01/2016","MyCity4Kids","Education","Children Education & Information platform","Gurgaon","SIDBI Venture Capital Limited, YourNest Angel Fund","Private Equity",3e+06,NA
1348,"06/01/2016","Justdakhila.com","Education","School Student admissions platform","New Delhi","Ankur Gupta","Seed Funding",750000,NA
1349,"07/01/2016","PitStop","Consumer Internet","Automobile Service Booking App","Bangalore","Myntra/LivSpace Founders","Seed Funding",NA,NA
1350,"07/01/2016","Bikxie","Consumer Internet","Two Wheeler Taxi Service","Gurgaon","Undisclosed Investors","Seed Funding",NA,NA
1351,"07/01/2016","Infurnia","Consumer Internet","Online Furniture Customization platform","Bangalore","Idein Ventures","Seed Funding",160000,NA
1352,"07/01/2016","Myly","Education","Mobile Based Education platform","Jaipur","Newbie Promoter Pvt Ltd","Seed Funding",1e+05,NA
1353,"07/01/2016","MakeMyTrip","Consumer Internet","Online Travel/Hotel Booking platform","Gurgaon","Ctrip.com International Ltd","Private Equity",1.8e+08,NA
1354,"08/01/2016","Melorra","ECommerce","Online/ Mobile Jewellery Retailer","Bangalore","Lightbox Ventures","Private Equity",5e+06,NA
1355,"08/01/2016","ConfirmTKT","Consumer Internet","Train PNR Status Prediction Platform","Bangalore","Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others","Seed Funding",250000,NA
1356,"08/01/2016","Gyaanzone","Education","Career Planning and Education Advisory Platform","Mumbai","GBIM Technologies Pvt Ltd","Seed Funding",45000,NA
1357,"08/01/2016","FlatFurnish","Consumer Internet","Online Furnishing Rental Platform","Gurgaon","Arun Chandra Mohan","Seed Funding",NA,NA
1358,"09/01/2016","Lumiere","ECommerce","Organic Food eTailer","Bangalore","Undisclosed investors","Private Equity",NA,NA
1359,"11/01/2016","Koovs","ECommerce","Online Fashion Apparel Retailer","Gurgaon","Nahata Family, Waheed Alli","Private Equity",5400000,NA
1360,"11/01/2016","Wishup","Consumer Internet","Mobile app based Concierge Service","New Delhi","500 Startups, Mato Peric, TracxnLabs","Seed Funding",NA,NA
1361,"11/01/2016","FreshMenu","Consumer Internet","Online / Mobile Food Ordering platform","Bangalore","Zodius Capital, Lightspeed Venture Partners","Private Equity",16500000,NA
1362,"11/01/2016","SavvyMob","ECommerce","Last Minute Hotel Bookings mobile marketplace","Bangalore","TV Mohandas Pai, LetsVenture","Seed Funding",1e+06,NA
1363,"11/01/2016","Fashionablyin","Consumer Internet","Mobile based Geo-target Fashion Marketplace","Mumbai","Ranjan Mahtani","Seed Funding",NA,NA
1364,"12/01/2016","Shopclues","ECommerce","ECommerce Marketplace","Gurgaon","GIC, Tiger Global Management, Nexus Venture Partners","Private Equity",1e+08,NA
1365,"12/01/2016","Hike Messenger","Consumer Internet","P2P Messaging Service","New Delhi","Matt Mullenweg, Adam D’Angelo, Aditya Agarwal,  Ruchi Sanghvi & Others","Private Equity",NA,NA
1366,"12/01/2016","iBus Networks","Technology","Next Generation in-building connectivity","Bangalore","Vallabh Bhanshali, N Squared Management LLC, Jagdish & Sandeep Mehta Family Office","Private Equity",2300000,NA
1367,"12/01/2016","Happy2Refer","Consumer Internet","Mobile based Referral Platform","Mumbai","Equity Crest, Vinners, Sparknext","Seed Funding",250000,NA
1368,"13/01/2016","CarTrade","Consumer Internet","Auto Classifieds Portal","Mumbai","Temasek Holdings, March Capital, Warburg Pincus","Private Equity",1.45e+08,NA
1369,"13/01/2016","Rentomo","Consumer Internet","peer-to-peer renting Marketplace","Bangalore","Shiva Ashok & Other unnamed investors","Seed Funding",1e+05,NA
1370,"13/01/2016","Roder","Consumer Internet","inter-city cab aggregator","New Delhi","Unicorn India Ventures","Seed Funding",240000,NA
1371,"13/01/2016","Bucker","Consumer Internet","Food Ordering Mobile App","Hyderabad","50k Ventures, Munish Jauhar, Pulkit Jain, Rohit Narang","Seed Funding",NA,NA
1372,"13/01/2016","Care24","Healthcare","Professional Health Services Platform","Mumbai","SAIF Partners, India Quotient","Private Equity",4e+06,NA
1373,"13/01/2016","Obino","Healthcare","Weigh Loss Coaching","Mumbai","RoundGlass Partners","Private Equity",NA,NA
1374,"14/01/2016","Snapshopr","Consumer Internet","Visual Search & Image Recognition Platform","Bangalore","Amod Malviya","Seed Funding",NA,NA
1375,"14/01/2016","Buildkar","ECommerce","Construction Material Marketplace","Bangalore","Mustafa Wajid, Umang Kumar & Others","Seed Funding",NA,NA
1376,"14/01/2016","Orahi","Consumer Internet","Carpooling Mobile App","Gurgaon","Indian Angel Network","Seed Funding",520000,NA
1377,"14/01/2016","Zapr","Technology","TV to Mobile audience Platform","Gurgaon","Flipkart, Saavn, Micromax, Dhiraj Rajaram, Ambiga Dhiraj, Dinesh Agarwal, Samir Bangara, Sanjay Nath, Arihant Patni","Seed Funding",NA,NA
1378,"15/01/2016","Remidio","Healthcare","Healthcare Product Manufacturer","Bangalore","Cipher-Plexus Capital Advisors & Indian HNIs","Private Equity",NA,NA
1379,"15/01/2016","Fitso","Consumer Internet","Fitness related Social Networking App & Forum","Gurgaon","Varun Khurana, Samar Singla, Vinay Bansal,","Seed Funding",2e+05,NA
1380,"15/01/2016","evibe.in","Consumer Internet","Party Hall Booking platform","Bangalore","Hyderabad Angels, Lalit Mangal,  Vikas Malpani, Gaurav Bhalotia, LV Prasad","Seed Funding",NA,NA
1381,"15/01/2016","Zoctr","Consumer Internet","healthcare aggregator platform","Mumbai","Times Group","Seed Funding",NA,NA
1382,"15/01/2016","Jobick","Consumer Internet","Mobile app based Job Search","Noida","Abhinav Mathur","Seed Funding",NA,NA
1383,"16/01/2016","Plick","Consumer Internet","Instant Content Transfer Mobile App","Mumbai","Sanjay Mehta","Seed Funding",NA,NA
1384,"18/01/2016","Voice Friends","Consumer Internet","Dating & Singles Chat Platform","Mumbai","Huzaifa Khorakiwala","Seed Funding",NA,NA
1385,"18/01/2016","Kartrocket","Consumer Internet","SAAS DIY  ECommerce Platform","New Delhi","Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding, 500 Startups","Private Equity",6e+06,NA
1386,"19/01/2016","Swiggy","Consumer Internet","Online/Mobile food ordering platform","Bangalore","Harmony Partners, RB Investments & existing investors","Private Equity",3.5e+07,NA
1387,"19/01/2016","TinyStep","Consumer Internet","Parenting Social Network","Bangalore","Flipkart","Seed Funding",NA,NA
1388,"19/01/2016","Cashkaro","Consumer Internet","Coupon & Cashback platform","Gurgaon","Ratan Tata","Private Equity",NA,NA
1389,"19/01/2016","Gameezop","Consumer Internet","Casual Gaming platform","New Delhi","Anand Chandrasekaran & Others","Seed Funding",NA,NA
1390,"19/01/2016","DailyObjects","ECommerce","Mobile Accessories etailer","New Delhi","Unilazer Fund,  Phanindra Sama, Peyush Bansal","Private Equity",1400000,NA
1391,"19/01/2016","Indus OS","Technology","Local language Mobile OS","Mumbai","Omidyar Network,","Private Equity",5e+06,NA
1392,"19/01/2016","CollegeDunia","Consumer Internet","Educational College Search platform","New Delhi","Umang Kumar","Seed Funding",445000,NA
1393,"19/01/2016","Villgro","Finance","Social Business Incubator & Fund","Chennai","Lemelson Foundation, Michael and Susan Dell Foundation","Private Equity",3500000,NA
1394,"20/01/2016","Reddoorz","Consumer Internet","Budget Accomodation Aggregator","New Delhi","500 Startups","Private Equity",NA,NA
1395,"20/01/2016","IndustryBuying","ECommerce","B2B Industrial Goods Marketplace","New Delhi","Trifecta Capital","Private Equity",1800000,NA
1396,"20/01/2016","Just Buy Live","ECommerce","B2B Marketplace for Distributors","Mumbai","Alpha Capital","Private Equity",2e+07,NA
1397,"20/01/2016","IMbesharam","ECommerce","Adult Products Etailers","New Delhi / US","Undisclosed US Based Investors","Private Equity",4e+06,NA
1398,"20/01/2016","Moodoo","Consumer Internet","Social Meeting organizer App","Mumbai / UK","Saïd Business School Seed Fund.","Seed Funding",40000,NA
1399,"20/01/2016","Saral Designs","Healthcare","Women Hygiene Product Manufacturer","Mumbai","Farooq Adam, Ambi Parameswaran,","Seed Funding",NA,NA
1400,"21/01/2016","FirstCry","ECommerce","Kids Focused eTailer","Pune","Ratan Tata","Private Equity",NA,NA
1401,"21/01/2016","Fisdom","Consumer Internet","Personal Finance Mobile App","Bangalore","Rob Chandra","Seed Funding",5e+05,NA
1402,"21/01/2016","Easypolicy","Consumer Internet","Online insurance policy aggregator","Noida","Unilazer Ventures","Private Equity",2200000,NA
1403,"21/01/2016","Housing.com","Consumer Internet","Online Real Estate Portal","Mumbai","SoftBank Corp","Private Equity",1.5e+07,NA
1404,"21/01/2016","CREO","Technology","Smartphone OS Developer","Bangalore","Sequoia Capital, Beenext Ventures, India Quotient, Anand Chandrasekaran","Private Equity",3e+06,NA
1405,"22/01/2016","ShabdaNagari","Consumer Internet","Hindi Language Social Networking Portal","Kanpur","Kanpur Angels & Others","Seed Funding",2e+05,NA
1406,"22/01/2016","Little","Consumer Internet","Deal Discovery App","Bangalore","GIC","Private Equity",NA,NA
1407,"22/01/2016","SnapBizz","ECommerce","Mobile based Retail Market Ecosystem","Bangalore","Jungle Ventures, Taurus Value Creation, Konly Venture, Blume Ventures","Private Equity",7200000,NA
1408,"22/01/2016","Qlivery","Consumer Internet","on-demand concierge services","Gurgaon","Chandigarh Angels Funding","Seed Funding",NA,NA
1409,"22/01/2016","PlexusMD","Consumer Internet","Social Network for Healthcare Professionals","Ahmedabad","Arihant Patni, Avnish Mehra, Pranay Adhvaryu, Ravi Sampat","Seed Funding",NA,NA
1410,"22/01/2016","Silvan","Technology","Home Automation & Security Solutions","Bangalore","The Chennai Angels","Seed Funding",515000,NA
1411,"22/01/2016","EPS","Technology","Electronic Payments Solution Company","Mumbai","APIS Partners","Private Equity",3.5e+07,NA
1412,"22/01/2016","Qubole","Technology","Enterprise Cloud Based Data Processing","Bangalore","Institutional Venture Partners, Norwest Venture Partners, Lightspeed Venture Partners, CRV","Private Equity",3e+07,NA
1413,"22/01/2016","Gajty","Healthcare","Salons & Spa Chain","Gurgaon","Purvi Ventures","Seed Funding",NA,NA
1414,"25/01/2016","SIFTR Labs","Consumer Internet","Photography curation & Aggregator platform","Mumbai","Venture Catalysts","Seed Funding",150000,NA
1415,"25/01/2016","Power2SME","Consumer Internet","SME Online Buying Hub","Gurgaon","Nandan Nilekani, Accel Partners, Kalaari Capital and Inventus Capital","Private Equity",2.1e+07,NA
